All,Visi
"Order Date: ","Užsakymo data: "
"Sold to:","Jūsų informacija:"
"Invoice # ","Sąskaita # "
"Move to Wish List","Pridėti į norų sąrašą"
"Total Tax","Iš viso mokesčių"
"Order Date","Užsakymo data"
"Order Date (%1)","Užsakymo data (%1)"
"Shipped By","Išsiųsta su"
"Tracking Number","Sekimo numeris"
"Billing Last Name","Mokėtojo pavardė"
"Find Order By","Rasti užsakymą pagal"
"ZIP Code","Pašto kodas"
"Billing ZIP Code","Mokėtojo pašto kodas"
"You have placed no orders.","Jūs nepateikėte užsakymų."
"Print Order","Spausdinti užsakymą"
"Print All Invoices","Spausdinti visas sąskaitas"
"Invoice #","Sąskaita #"
"Print Invoice","Spausdinti sąskaitą"
"About Your Order","Apie jūsų užsakymą"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Užsakymo data:</span> %1"
"Shipment #%1","Siunta #%1"
"Recent Orders","Naujausi užsakymai"
"Recently Ordered","Neseniai Užsakyta"
"Thank you for your order from %store_name.","Dėkojame už jūsų užsakymą iš %store_name."
"Billing Info","Atsiskaitymo informacija"
"Orders and Returns Search Form","Užsakymų ir Grąžinimų paieškos forma"
"ZIP/Post Code","Pašto kodas"
"Invoice Date","Sąskaitos-faktūros data"
"Total Quantity","Bendras kiekis"
"Print Invoices","Spausdinti sąskaitas"
"total quantity","bendras kiekis"
"total amount","bendra suma"
"Your coupon was successfully removed.","Kuponas sėkmingai ištrintas."
"Your coupon was successfully applied.","Kuponas sėkmingai pritaikytas."
"Continue Processing","Tęsti apdorojimą"
"Search Term","Paieškos terminas"
"Save Search","Išsaugoti paiešką"
"Delete Search","Ištrinti paiešką"
"New Search","Nauja paieška"
"Edit Search","Redaguoti paiešką"
"Search entire store here...",Paieška...
"There are no search terms available.","Nėra jokių paieškos terminų."
"Please enter a message.","Prašome įvesti žinutę."
of,iš
"This shipping method is not available. Please specify the zip code.","Šis pristatymo būdas nėra prieinamas. Prašome nurodyti pašto kodą."
Contents,Turinys
"Print All Shipments","Spausdinti visas siuntas"
"Shipment #","Siunta #"
"Print Shipment","Spausdinti siuntas"
"Tracking Number(s):","Sekimo numeris(-iai):"
"Tracking Number:","Sekimo numeris:"
"contact us",kontaktai
"Track your order","Sekti užsakymą"
"Zip/Post Code","Pašto kodas"
"Grand Total (Excl.Tax)","Suma (Atsk.Mok.)"
"Grand Total (Incl.Tax)",Suma
"Save and Continue","Išsaugoti ir tęsti"
"Items %1 to %2 of %3 total","%1 - %2 iš %3"
"%1 Item(s)","%1 Įrašas(-ai)"
Menu,Meniu
Account,Paskyra
"Search by keyword","Ieškoti pagal raktažodį"
Keyword,Raktažodis
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Jūsų pašto kodą turi būti tarp 902xx-xxxx ir 905-xx-xxxx"
"Please select an option.","Prašome pažymėti pasirinkimą."
"Please enter a valid email address (Ex: johndoe@domain.com).","Prašome įvesti galiojantį el. pašto adresą (pvz: jonas@jonaitis.com)."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimaliausias ilgis šiame lauke turi būti lygus arba didesnis nei %1 simboliai."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Prašome įvesti galiojantį pašto kodą (pvz: 90602 arba 90602-1234)."
"Please enter a valid zip code.","Prašome įvesti galiojantį pašto kodą."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Prašome įvesti galiojantį el. pašto adresus, atskirdami juos kableliais. Pvz., jonas@jonaitis.com, petras@petraitis.com."
"Password is required field.","Slaptažodio laukas yra būtinas."
"Password Help","Slaptažodžio pagalba"
"Email address","El. paštas"
"Forgot your password?","Pamiršote slaptažodį?"
"Reset a Password","Atstatyti slaptažodį"
"Password Change","Slaptažodžio keitimas"
"Stored Payment Methods","Mano mokėjimo būdai"
"You have no stored payment methods.","Jūs neturite išsaugoję jokio mokėjimo būdo."
Next/Previous,Kitas/ankstesnis
"SKU: Ascending","Prekės kodas: didėjimo tvarka"
"SKU: Descending","Prekės kodas: mažėjimo tvarka"
"Total Incl. Tax","Iš viso (su PVM)"
description,aprašymas
"Wish List Sharing","Dalintis pageidavimų sąrašu"
"My Wish List","Mano norų sąrašas"
"%1 has been moved to your wish list.","%1 buvo perkelta(-as) į jūsų norų sąrašą."
"Your wish list has been shared.","Jūsų norų sąrašu buvo pasidalyta."
"Share Wish List","Dalintis norų sąrašu"
"Add All to Cart","Viską į krepšelį"
"Update Wish List","Atnaujinti norų sąrašą"
"Move to Wishlist","Pridėti į norų sąrašą"
"%1 has been added to your Wish List.","%1 buvo pridėta į jūsų pageidavimų sąrašą."
"Email addresses, separated by commas","Įvesti kelis el. pašto adresus, atskirkite juos kableliais"
"Check here to link an RSS feed to your Wish List.","Pažymėkite čia norėdami susieti RSS kanalą su savo norų sąrašu."
"You have no items in your wish list.","Jūs neturite prekių savo norų sąraše."
"My Wish List Link","Mano norų sąrašo nuoroda"
"10 by default. Max - 10000","Numatytoji vertė - 10. Daugiausia - 10000"
"Please click ","Spauskite "
Worldpay,WorldPay
"Payment was canceled.","Mokėjimas buvo atšauktas."
"continue shopping","tęsti apsipirkimą"
"Quick Checkout","Greitas užsakymas"
Warning,Įspėjimas
"No records found.","Įrašų nėra."
"Show all...","Rodyti viską..."
Next,Kitas
Previous,Atgal
"Please wait...","Prašome palaukti..."
Loading...,Kraunasi...
more,daugiau
Translate,Versti
Submit,Pateikti
"Please enter {0} words or less.","Įrašykite {0} žodžius ar mažiau."
"Please enter at least {0} words.","Prašau įrašyti mažiau nei {0} žodžių."
"Please enter between {0} and {1} words.","Prašau įrašyti tarp {0} ir {1} žodžių."
"No white space please","Prašome be tarpų"
"Please enter a correct date","Įrašykite teisngą datą"
"Please enter a valid time, between 00:00 and 23:59","Prašome įrašyti tinkamą laiką, tarp 00:00 ir 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Prašome įrašyti tinkamą laiką, tarp 00:00 am ir 12:00 pm"
"Please specify a valid phone number","Nurodykite galiojantį telefono numerį"
"Please specify a valid mobile number","Nurodykite galiojantį mobiliojo telefono numerį"
"Please enter at least {0} characters","Prašau įrašyti mažiau nei {0} simbolių"
"Please enter a valid credit card number.","Įrašykite galiojantį kredito kortelės numerį."
"Please enter a valid IP v4 address.","Įrašykite galiojantį IP v4 adresą."
"Please enter a valid IP v6 address.","Įrašykite galiojantį IP v6 adresą."
"Invalid format.","Netinkamas formatas."
"Please select an option.","Prašome pasirinkti variantą."
"Empty Value.","Tuščia reikšmė."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Šiame lauke prašome naudoti tik raides (a-z arba A-Z), skaičius (0-9) arba tarpus."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Prašau naudoti tik raides (a-z arba A-Z), skaičius (0-9) arba pabraukimus (_) šiame laukelyje, pirmas simbolis turi būti raidė."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Šiame laukelyje prašau naudoti tik raides (a-z or A-Z), skaičius (0-9), tarpus ir ""#""."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Įrašykite galiojantį telefono numerį. Pavyzdžiui +37068612345 arba 868612345."
"Please enter a valid fax number (Ex: 123-456-7890).","Įrašykite galiojantį fakso numerį (pvz.: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Prašome įrašyti galiojantį el. pašto adresą (pvz.: petras@petraitis.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Įrašykite 6 ar daugiau simbolių. Tarpai bus ignoruojami."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimalus šio lauko ilgis turi būti lygus arba didesnis nei %1 simboliai. Tarpai neskaičiuojami."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimalus skirtingų simbolių slaptažodyje yra %1. Simbolių tipai: mažosios raidės, didžiosios raidės, skaitmenys, specialieji simboliai."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Prašome įrašyti teisingą URL adresą. Reikalingas protokolas(http://, https:// or ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Prašome įrašyti teisingą URL adresą. Pavyzdžiui http://www.domenas.com or www.domenas.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Įrašykite galiojantį XML identifikatorių (pvz.: kazkas_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Prašome įrašyti galiojantį socialinio draudimo numerį (pvz.: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Įrašykite galiojantį pašto kodą (pvz.: 03204 arba 05004)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prašome naudoti datos formatą: yyyy-mm-ddd. Pavyzdžiui
 2018-02-01 datai 2018 m. vasario 01 d."
"Please enter a valid $ amount. For example $100.00.","Įrašykite teisingą $ sumą. Pavyzdžiui 100.00€."
"Please enter a number 0 or greater in this field.","Įrašykite skaičių 0 ar didesnį šiame laukelyje."
"Please enter a number greater than 0 in this field.","Šiame laukelyje įrašykite skaičių didesni nei 0."
"Please enter a valid number in this field.","Įrašykite teisingą skaičių šiame lauke."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Šiame laukelyje prašome naudoti tik raides (a-z arba A-Z) arba skaičius (0-9). Neleidžiami tarpai ar kitokie simboliai."
"Please enter a valid date.","Įrašykite teisingą datą."
"Make sure the To Date is later than or the same as the From Date.","Įsitikinkite, kad data iki yra vėlesnė arba tą patį, kaip ir data nuo."
"Please make sure your passwords match.","Patikrinkite ar jūsų slaptažodžiai atitinka."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Prašome įrašyti teisingą URL nuorodą (pvz.: ""example-page"", ""example-page.html"" arba ""anotherlevel/example-page"")."
"Please enter a valid zip code.","Įrašykite galiojantį pašto kodą."
"Please select State/Province.","Pasirinkite apskritis/rajoną."
"The field isn't complete.","Laukelio neužpildytas."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Prašome įrašyti galiojančius el. pašto adresus, atskirtus kableliais. Pavyzdžiui petras@petraitis.com, jonas@jonaitis.com."
"Please enter a valid credit card verification number.","Įrašykite galiojantį kredito kortelės patvirtinimo numerį."
"Please enter issue number or start date for switch/solo card type.","Prašome įrašykite numerį ar pradžios datą switch/solo kortelės tipui."
"Please enter positive number in this field.","Įrašykite teigiamą skaičių."
"Please enter a valid value, ex: 10,20,30","Įrašykite teisingą reikšmę pvz.: 10,20,30"
"Please enter valid SKU key.","Prašome įvesti galiojantį prekės kodą."
"Please enter a valid email address.","Prašome įrašyti galiojantį el. pašto adresą."
"Please enter the same value again.","Prašome vėl įvesti tą pačią vertę."
"Please enter a value less than or equal to {0}.","Įrašykite mažesnę ar lygią vertę {0}."
"Please enter a value greater than or equal to {0}.","Įrašykite didesnę ar lygią vertę {0}."
"Please specify the quantity of product(s).","Nurodykite prekės(-ių) kiekį."
"The fewest you may purchase is %1.","Mažiausiai galite įsigyti %1."
"You can buy this product only in quantities of %1 at a time.","Jūs galite pirkti šią prekę tik kiekiais %1 vnt. vienu metu."
"Insert Widget","Įtraukti valdiklį"
